10e1-row.csv,s,ms,µs
1,0.02,18.40,"18,402"
2,0.02,17.92,"17,918"
3,0.02,16.48,"16,483"
4,0.02,17.06,"17,060"
5,0.02,19.45,"19,454"
6,0.02,19.98,"19,975"
7,0.02,16.30,"16,303"
8,0.02,19.28,"19,279"
9,0.02,19.80,"19,798"
10,0.02,18.80,"18,799"
,0.02,18.35,"18,347"
,,,
,,,
10e2-row.csv,s,ms,µs
1,0.18,183.12,"183,122"
2,0.16,155.62,"155,620"
3,0.16,161.65,"161,645"
4,0.17,174.68,"174,676"
5,0.17,166.20,"166,197"
6,0.16,159.25,"159,253"
7,0.16,157.41,"157,411"
8,0.17,172.68,"172,679"
9,0.16,160.61,"160,605"
10,0.16,156.18,"156,175"
,0.16,164.74,"164,738"
,,,
,,,
10e3-row.csv,s,ms,µs
1,1.71,"1,708.42","1,708,416"
2,1.60,"1,602.96","1,602,964"
3,1.58,"1,575.61","1,575,608"
4,1.62,"1,624.39","1,624,392"
5,1.63,"1,627.07","1,627,069"
6,1.61,"1,606.96","1,606,958"
7,1.64,"1,644.16","1,644,159"
8,1.62,"1,618.46","1,618,455"
9,1.59,"1,592.57","1,592,566"
10,1.67,"1,668.10","1,668,098"
,1.63,"1,626.87","1,626,869"
,,,
,,,
10e4-row.csv,s,ms,µs
1,16.36,"16,363.75","16,363,748"
2,17.69,"17,692.85","17,692,849"
3,15.96,"15,960.60","15,960,596"
4,15.77,"15,772.96","15,772,963"
5,16.04,"16,042.70","16,042,702"
6,18.05,"18,053.15","18,053,148"
7,16.15,"16,153.97","16,153,973"
8,16.88,"16,881.12","16,881,123"
9,16.29,"16,290.38","16,290,376"
10,17.68,"17,679.97","17,679,972"
,16.69,"16,689.15","16,689,145"
,,,
,,,
10e5-row.csv,s,ms,µs
1,16.48,"16,481.43","16,481,426"
2,15.67,"15,668.88","15,668,878"
3,15.74,"15,735.79","15,735,787"
4,15.81,"15,805.32","15,805,322"
5,17.26,"17,258.86","17,258,859"
6,15.58,"15,583.74","15,583,735"
7,15.75,"15,752.19","15,752,189"
8,15.67,"15,665.61","15,665,613"
9,17.36,"17,361.55","17,361,546"
10,16.12,"16,120.44","16,120,440"
,16.14,"16,143.38","16,143,380"
,,,
,,,
10e6-row.csv,s,ms,µs
1,"1,749.46","1,749,456.07","1,749,456,070"
2,0.00,0.00,
3,0.00,0.00,
4,0.00,0.00,
5,0.00,0.00,
6,0.00,0.00,
7,0.00,0.00,
8,0.00,0.00,
9,0.00,0.00,
10,0.00,0.00,
,"1,749.46","1,749,456.07","1,749,456,070"
