10e1-row.csv,s,ms,µs
1,0.01,7.57,"7,565"
2,0.00,3.32,"3,323"
3,0.00,4.07,"4,073"
4,0.00,4.33,"4,330"
5,0.00,4.76,"4,759"
6,0.00,3.72,"3,719"
7,0.00,3.72,"3,723"
8,0.00,3.81,"3,812"
9,0.00,3.75,"3,754"
10,0.00,2.69,"2,689"
,0.00,4.17,"4,175"
,,,
,,,
10e2-row.csv,s,ms,µs
1,0.01,6.56,"6,555"
2,0.01,5.77,"5,765"
3,0.01,5.22,"5,223"
4,0.01,6.62,"6,615"
5,0.01,6.83,"6,831"
6,0.01,10.12,"10,121"
7,0.01,5.37,"5,367"
8,0.01,5.50,"5,496"
9,0.01,6.53,"6,530"
10,0.01,5.86,"5,859"
,0.01,6.44,"6,436"
,,,
,,,
10e3-row.csv,s,ms,µs
1,0.06,55.37,"55,373"
2,0.06,62.18,"62,180"
3,0.07,70.61,"70,608"
4,0.07,65.62,"65,616"
5,0.06,58.96,"58,958"
6,0.12,116.56,"116,562"
7,0.06,59.08,"59,084"
8,0.06,62.15,"62,148"
9,0.07,73.14,"73,136"
10,0.06,57.85,"57,847"
,0.07,68.15,"68,151"
,,,
,,,
10e4-row.csv,s,ms,µs
1,1.58,"1,583.28","1,583,279"
2,2.91,"2,906.07","2,906,069"
3,0.89,890.20,"890,199"
4,0.85,852.70,"852,696"
5,1.01,"1,012.76","1,012,762"
6,0.97,969.68,"969,680"
7,1.29,"1,286.09","1,286,092"
8,1.08,"1,079.90","1,079,904"
9,0.91,906.81,"906,812"
10,0.89,894.76,"894,758"
,1.24,"1,238.23","1,238,225"
,,,
,,,
10e5-row.csv,s,ms,µs
1,10.71,"10,712.00","10,711,998"
2,12.04,"12,039.31","12,039,311"
3,16.25,"16,247.28","16,247,276"
4,13.23,"13,230.09","13,230,089"
5,11.44,"11,436.60","11,436,603"
6,9.99,"9,991.17","9,991,166"
7,9.90,"9,897.54","9,897,542"
8,11.85,"11,849.83","11,849,830"
9,9.51,"9,509.20","9,509,195"
10,9.18,"9,177.79","9,177,792"
,11.41,"11,409.08","11,409,080"
,,,
,,,
10e6-row.csv,s,ms,µs
1,92.66,"92,659.60","92,659,603"
2,91.12,"91,124.45","91,124,451"
3,90.36,"90,356.39","90,356,387"
4,96.62,"96,618.49","96,618,493"
5,94.06,"94,063.56","94,063,559"
6,95.51,"95,509.06","95,509,063"
7,101.62,"101,616.88","101,616,879"
8,104.55,"104,554.70","104,554,702"
9,122.16,"122,159.26","122,159,257"
10,129.55,"129,551.77","129,551,770"
,101.82,"101,821.42","101,821,416"
