10e1-row.csv,s,ms,µs
1,0.003265,3.265,3265
2,0.004616,4.616,4616
3,0.005447,5.447,5447
4,0.004055,4.055,4055
5,0.003961,3.961,3961
6,0.004658,4.658,4658
7,0.003862,3.862,3862
8,0.004126,4.126,4126
9,0.002465,2.465,2465
10,0.003911,3.911,3911
,0.0040366,4.0366,4036.6
,,,
,,,
10e2-row.csv,s,ms,µs
1,0.005623,5.623,5623
2,0.074203,74.203,74203
3,0.063678,63.678,63678
4,0.065961,65.961,65961
5,0.073399,73.399,73399
6,0.062037,62.037,62037
7,0.061587,61.587,61587
8,0.064671,64.671,64671
9,0.006954,6.954,6954
10,0.031428,31.428,31428
,0.0509541,50.9541,50954.1
,,,
,,,
10e3-row.csv,s,ms,µs
1,0.182827,182.827,182827
2,0.162773,162.773,162773
3,0.150048,150.048,150048
4,0.185067,185.067,185067
5,0.095985,95.985,95985
6,0.164103,164.103,164103
7,0.160301,160.301,160301
8,0.169621,169.621,169621
9,0.174097,174.097,174097
10,0.121322,121.322,121322
,0.1566144,156.6144,156614.4
,,,
,,,
10e4-row.csv,s,ms,µs
1,1.253048,1253.048,1253048
2,1.493835,1493.835,1493835
3,1.278241,1278.241,1278241
4,1.206505,1206.505,1206505
5,1.183483,1183.483,1183483
6,1.589071,1589.071,1589071
7,1.265769,1265.769,1265769
8,1.290065,1290.065,1290065
9,1.258184,1258.184,1258184
10,1.196889,1196.889,1196889
,1.301509,1301.509,1301509
,,,
,,,
10e5-row.csv,s,ms,µs
1,12.780167,12780.167,12780167
2,12.568071,12568.071,12568071
3,12.737058,12737.058,12737058
4,12.473145,12473.145,12473145
5,13.180914,13180.914,13180914
6,13.149011,13149.011,13149011
7,12.486577,12486.577,12486577
8,12.653125,12653.125,12653125
9,12.760533,12760.533,12760533
10,12.270281,12270.281,12270281
,12.7058882,12705.8882,12705888.2
,,,
,,,
10e6-row.csv,s,ms,µs
1,128.480477,128480.477,128480477
2,125.346531,125346.531,125346531
3,129.441144,129441.144,129441144
4,133.096912,133096.912,133096912
5,144.327574,144327.574,144327574
6,139.428535,139428.535,139428535
7,137.645926,137645.926,137645926
8,134.442151,134442.151,134442151
9,127.627701,127627.701,127627701
10,125.043584,125043.584,125043584
,132.4880535,132488.0535,132488053.5
