10e1-row.csv,s,ms,µs
1,0.00,2.86,"2,856"
2,0.00,2.52,"2,519"
3,0.00,4.16,"4,163"
4,0.00,2.77,"2,771"
5,0.00,3.25,"3,249"
6,0.00,3.35,"3,350"
7,0.00,4.37,"4,371"
8,0.00,3.69,"3,685"
9,0.00,3.34,"3,337"
10,0.00,2.83,"2,826"
,0.00,3.31,"3,313"
,,,
,,,
10e2-row.csv,s,ms,µs
1,0.00,4.30,"4,298"
2,0.00,3.33,"3,326"
3,0.00,3.96,"3,964"
4,0.00,4.02,"4,018"
5,0.00,4.06,"4,055"
6,0.00,4.35,"4,348"
7,0.00,3.68,"3,679"
8,0.00,4.58,"4,584"
9,0.00,3.97,"3,972"
10,0.00,4.18,"4,175"
,0.00,4.04,"4,042"
,,,
,,,
10e3-row.csv,s,ms,µs
1,0.58,581.77,"581,765"
2,0.49,492.60,"492,600"
3,0.89,890.88,"890,881"
4,0.48,481.16,"481,162"
5,0.67,669.49,"669,492"
6,0.37,368.58,"368,575"
7,0.38,376.99,"376,994"
8,0.40,402.45,"402,446"
9,0.69,689.43,"689,426"
10,0.38,380.01,"380,010"
,0.53,533.34,"533,335"
,,,
,,,
10e4-row.csv,s,ms,µs
1,5.98,"5,983.81","5,983,810"
2,7.88,"7,883.23","7,883,226"
3,5.68,"5,681.19","5,681,190"
4,4.97,"4,969.38","4,969,377"
5,5.77,"5,774.91","5,774,914"
6,7.06,"7,058.15","7,058,154"
7,6.59,"6,586.15","6,586,148"
8,6.47,"6,468.71","6,468,711"
9,8.77,"8,769.62","8,769,615"
10,7.96,"7,957.38","7,957,376"
,6.71,"6,713.25","6,713,252"
,,,
,,,
10e5-row.csv,s,ms,µs
1,76.38,"76,383.16","76,383,162"
2,71.39,"71,387.93","71,387,930"
3,74.67,"74,673.47","74,673,467"
4,72.91,"72,911.11","72,911,105"
5,76.30,"76,295.01","76,295,009"
6,55.85,"55,853.94","55,853,942"
7,47.18,"47,182.59","47,182,593"
8,45.77,"45,774.82","45,774,824"
9,43.67,"43,673.60","43,673,599"
10,46.77,"46,773.41","46,773,408"
,61.09,"61,090.90","61,090,904"
,,,
,,,
10e6-row.csv,s,ms,µs
1,421.17,"421,170.47","421,170,470"
2,577.33,"577,329.86","577,329,857"
3,494.74,"494,737.22","494,737,220"
4,491.06,"491,063.16","491,063,160"
5,431.93,"431,929.81","431,929,814"
6,545.25,"545,249.75","545,249,750"
7,842.44,"842,436.77","842,436,771"
8,654.42,"654,418.23","654,418,229"
9,677.78,"677,777.06","677,777,060"
10,692.73,"692,730.31","692,730,312"
,582.88,"582,884.26","582,884,264"
