10e1-row.csv,s,ms,µs
1,0.044561,44.561,44561
2,0.031363,31.363,31363
3,0.006262,6.262,6262
4,0.03039,30.39,30390
5,0.003902,3.902,3902
6,0.047343,47.343,47343
7,0.007111,7.111,7111
8,0.044224,44.224,44224
9,0.034961,34.961,34961
10,0.007171,7.171,7171
,0.0257288,25.7288,25728.8
,,,
,,,
10e2-row.csv,s,ms,µs
1,0.011233,11.233,11233
2,0.01001,10.01,10010
3,0.010705,10.705,10705
4,0.007369,7.369,7369
5,0.009631,9.631,9631
6,0.036018,36.018,36018
7,0.034688,34.688,34688
8,0.025123,25.123,25123
9,0.0047,4.7,4700
10,0.006834,6.834,6834
,0.0156311,15.6311,15631.1
,,,
,,,
10e3-row.csv,s,ms,µs
1,0.631143,631.143,631143
2,0.635546,635.546,635546
3,0.635207,635.207,635207
4,0.393624,393.624,393624
5,0.266966,266.966,266966
6,0.099673,99.673,99673
7,0.196938,196.938,196938
8,0.171998,171.998,171998
9,0.103029,103.029,103029
10,0.206721,206.721,206721
,0.3340845,334.0845,334084.5
,,,
,,,
10e4-row.csv,s,ms,µs
1,2.674401,2674.401,2674401
2,2.887046,2887.046,2887046
3,2.190871,2190.871,2190871
4,2.599005,2599.005,2599005
5,2.296814,2296.814,2296814
6,2.500545,2500.545,2500545
7,2.595942,2595.942,2595942
8,3.097254,3097.254,3097254
9,2.984802,2984.802,2984802
10,2.732478,2732.478,2732478
,2.6559158,2655.9158,2655915.8
,,,
,,,
10e5-row.csv,s,ms,µs
1,30.500452,30500.452,30500452
2,31.953645,31953.645,31953645
3,32.326888,32326.888,32326888
4,30.889691,30889.691,30889691
5,31.330706,31330.706,31330706
6,31.074848,31074.848,31074848
7,30.189122,30189.122,30189122
8,31.993656,31993.656,31993656
9,31.386358,31386.358,31386358
10,30.159069,30159.069,30159069
,31.1804435,31180.4435,31180443.5
,,,
,,,
10e6-row.csv,s,ms,µs
1,321.889651,321889.651,321889651
2,311.251666,311251.666,311251666
3,314.712014,314712.014,314712014
4,313.362369,313362.369,313362369
5,311.148293,311148.293,311148293
6,308.541814,308541.814,308541814
7,312.825064,312825.064,312825064
8,307.657528,307657.528,307657528
9,315.241942,315241.942,315241942
10,313.220367,313220.367,313220367
,312.9850708,312985.0708,312985070.8
